"Időbélyeg","Kijelentem, hogy elmúltam 18 éves, a fenti tájékoztatót elolvastam, és hozzájárulok, hogy válaszaimat kutatáshoz felhasználják.","Milyen nemű vagy?","Hány éves vagy?","Jelenleg olyan munkakörben dolgozol, amely pszichológiai támogatást, mentálhigiénés ellátást vagy tanácsadást foglal magában? (pl. terapeuta, pszichológus, coach, segítő vagy) - Opcionális","Mi jellemző rád az alábbiak közül?","Milyen gyakran használsz mesterséges intelligenciát? (ChatGPT, ...)","Milyen mesterséges intelligencia eszközöket használsz? (Jelölhetsz többet is)","Használtál-e már valaha AI-t pszichológiai témában, személyes dolgaid megbeszélésére, a saját működésed / szociális helyzetek megértésére, vagy akár ""terapeutaként""?","Milyen problémával fordultál az AI-hoz? (Jelöld mindet, ami szóba jöhet)","Mi az, ami általában arra vezet, hogy AI-t használj ilyen esetekben? (Válassz max hármat)","Amikor AI-t használsz, hogyan használod a leggyakrabban? (Jelöld mindet, ami megfelelő lehet)","Melyik írja le legjobban az AI használatával kapcsolatos élményed?","Mi alapján bízol egy AI által kapott válaszban? (Jelöld az összes megfelelőt)","Mikor nem bízol egy mesterséges intelligencia által adott válaszban, vagy hagyod figyelmen kívül azt? (Jelöld az összes szóba jöhetőt) ","Állítottál már fel személyes szabályokat vagy korlátokat a mesterséges intelligencia használatoddal kapcsolatban?","Mielőtt mesterséges intelligenciát önreflexióra használtál volna, mennyire érezted, hogy jól ismered magad, tudatos vagy?","Hogyan változott saját magad megértése az AI használatával? ","Kaptál már olyan visszajelzést AI-tól magaddal kapcsolatban, ami miatt megkérdőjelezted, újraértékelted azt, ahogy látod magad?","Amennyiben igen, hogy reagáltál erre? (Jelöld mindet, ami szóba jöhet) ","Általánosságban kijelentenéd-e, hogy az AI főleg: ","A tapasztalataid szerint az AI által kapott pszichológiai tanács ilyen:","Mi aggaszt leginkább a mesterséges intelligencia használatával kapcsolatban ebben a témában? (Opcionális, jelölj bármennyit)","Opcionális: van valami a mesterséges intelligenciával és az önreflexióval kapcsolatos tapasztalataidban, ami fontosnak tűnik, de nem került szóba? (Röviden / hosszan is kifejthető)","Opcionális: ha nyitott lennél folytatólagos részvételre a későbbiekben, itt megadhatod az email címed is."
"2026/01/28 9:03:31 de. CET","Igen, szeretnék részt venni a kutatásban","Nem akarom megadni","25 - 34","Nem","Diagnosztizált neurodivergens vagyok","Próbáltam már, de szinte soha","ChatGPT","Nem","","","","","","","","","","","","","","","",""
"2026/01/28 9:04:24 de. CET","Igen, szeretnék részt venni a kutatásban","Nő","35 - 44","Nem","Diagnosztizált neurodivergens vagyok","Napi szinten","ChatGPT","Igen","A gondolataim, érzéseim jobb megértésében;Teendők, hétköznapi élet megszervezésére;Önmagam, mintázataim megértésére;Pszichológiai témákról tanulni","Kíváncsiság;Szeretném jobban, strukturáltabban átlátni a kérdést","Feedbackre, véleményre a gondolataimról;Semleges másodvéleményként","Erősen függ a helyzettől","Ha új perspektívát mutat;Ha strukturáltnak vagy egyértelműnek, tisztának tűnik","Ha túl általánosnak hangzik;Ha túl (maga)biztosnak hangzik;Ha ellentmond a saját megélt élményemmel;Ha túlzottan leegyszerűsíti a dolgokat;Ha az intuícióm azt mondja, hogy valami nem stimmel benne","Valamennyire / nem kőbe vésve","4. Meglehetősen jól ismerem magam","Valamennyire tisztult","Igen","Elgondolkodtam rajta;Integráltam az AI-tól kapottakat, legalább részben;Szituációtól függött","Mindkettő megtörtént","egy lehetséges kiegészítő terápia mellett, de nem helyettesítője annak","A túlzott ráhagyatkozás;Félrevezető, fals információk;Érzelmi függőség kialakulása;Az emberi kapcsolat hiánya, elvesztése","",""
"2026/01/28 9:23:16 de. CET","Igen, szeretnék részt venni a kutatásban","Nő","35 - 44","Nem","Diagnosztizált neurodivergens vagyok","Hetente többször","ChatGPT;copilot","Nem","","","","","","","","","","","","","","","",""
"2026/01/28 9:33:32 de. CET","Igen, szeretnék részt venni a kutatásban","Férfi","35 - 44","Nem","Diagnosztizált neurodivergens vagyok","Napi szinten","ChatGPT;Gemini;Claude;Perplexity, NotebookLM, Cursor","Igen","Teendők, hétköznapi élet megszervezésére;Önmagam, mintázataim megértésére","Szeretném jobban, strukturáltabban átlátni a kérdést;Betegség-tüneteket akartam megérteni például, amire korábban simán rágugliztam volna","Feedbackre, véleményre a gondolataimról;Ötletelésre, brainstorming partnerként;Problémamegoldóként;Mint egy útmutató, következő lépések kitalálására","A mesterséges intelligencia által írtakat csak javaslatoknak tekintem, nem kész válaszoknak","Ha strukturáltnak vagy egyértelműnek, tisztának tűnik;Ha biztosnak hangzik","Ha túl általánosnak hangzik;Ha túlzottan leegyszerűsíti a dolgokat;Ha az intuícióm azt mondja, hogy valami nem stimmel benne","Nem","5. Nagyon tudatos vagyok a belső működéseimmel","Körülbelül ugyanaz maradt","Nem","","Egyik sem igaz","egy lehetséges kiegészítő terápia mellett, de nem helyettesítője annak","A túlzott ráhagyatkozás;Félrevezető, fals információk;Érzelmi függőség kialakulása;Nincsenek különösebb aggodalmaim;Pontosabban magam miatt nem aggódom, de a tágabb társadalomra nézve vannak veszélyek","Én érzelmileg stabil vagyok és régóta használom az AI-t eszközként.","erdei.mate88@gmail.com"
"2026/01/28 9:46:24 de. CET","Igen, szeretnék részt venni a kutatásban","Nő","25 - 34","Nem","Van diagnózisom valamilyen más pszichés kondícióról","Néha","ChatGPT","Igen","A gondolataim, érzéseim jobb megértésében;Teendők, hétköznapi élet megszervezésére;Önmagam, mintázataim megértésére","Kíváncsiság;Kifogytam az ötletekből, megrekedtem","Semleges másodvéleményként;Problémamegoldóként;Érzelmi megerősítésre","A mesterséges intelligencia által írtakat csak javaslatoknak tekintem, nem kész válaszoknak","Ha egyezik a saját gondolkodásmódommal;Ha új perspektívát mutat;Ha több lehetőséget mutat be","Ha az intuícióm azt mondja, hogy valami nem stimmel benne","Valamennyire / nem kőbe vésve","3. Átlagos szinten értem a saját működésem","Valamennyire tisztult","Nem","Nem foglalkoztam vele, ignoráltam","Megerősítette az önmagadról alkotott képed, narratíváid","egy lehetséges kiegészítő terápia mellett, de nem helyettesítője annak","Félrevezető, fals információk","",""
"2026/01/28 9:58:56 de. CET","Igen, szeretnék részt venni a kutatásban","Nő","25 - 34","Nem","Diagnosztizált neurodivergens vagyok","Néha","ChatGPT;Copilot","Nem","","","","","","","","","","","","","","","",""
"2026/01/28 10:05:26 de. CET","Igen, szeretnék részt venni a kutatásban","Férfi","35 - 44","Nem","Gyanítom, hogy neurodivergens lehetek, de nincs diagnózisom","Napi szinten","ChatGPT","Nem","","","","","","","","","","","","","","","",""
"2026/01/28 10:06:54 de. CET","Igen, szeretnék részt venni a kutatásban","Nő","45 - 54","Nem","Diagnosztizált neurodivergens vagyok","Napi szinten","ChatGPT","Igen","A gondolataim, érzéseim jobb megértésében;Önmagam, mintázataim megértésére;Pszichológiai témákról tanulni","Kíváncsiság;Szeretném jobban, strukturáltabban átlátni a kérdést;Általában az érzelmeimre, intuíciómra hallgatok, de szeretném AI-val érteni is","Feedbackre, véleményre a gondolataimról;Ötletelésre, brainstorming partnerként;Mint egy útmutató, következő lépések kitalálására","Főként a saját gondolkodásom tisztázására használom az AI-t","Ha új perspektívát mutat;Ha strukturáltnak vagy egyértelműnek, tisztának tűnik","Ha túl általánosnak hangzik;Ha ellentmond a saját megélt élményemmel;Ha az intuícióm azt mondja, hogy valami nem stimmel benne","Még sohasem gondoltam ilyesmire","5. Nagyon tudatos vagyok a belső működéseimmel","Már sokkal jobban értem magam","Igen","Elgondolkodtam rajta;Integráltam az AI-tól kapottakat, legalább részben","Megerősítette az önmagadról alkotott képed, narratíváid","egy lehetséges kiegészítő terápia mellett, de nem helyettesítője annak","Nincsenek különösebb aggodalmaim","Nem mindig, de szoktam forrás megjelölést kérni.",""
"2026/01/28 10:24:41 de. CET","Igen, szeretnék részt venni a kutatásban","Nő","25 - 34","Nem","Gyanítom, hogy neurodivergens lehetek, de nincs diagnózisom","Néha","ChatGPT","Igen","A gondolataim, érzéseim jobb megértésében;Döntések meghozásában;Teendők, hétköznapi élet megszervezésére;Önmagam, mintázataim megértésére;Nehéz beszélgetésekre felkészülni;Pszichológiai témákról tanulni","Kíváncsiság;Szeretném jobban, strukturáltabban átlátni a kérdést;Nincs időm / lehetőségem szakember segítségére","Ötletelésre, brainstorming partnerként;Semleges másodvéleményként;Érzelmi megerősítésre","A mesterséges intelligencia által írtakat csak javaslatoknak tekintem, nem kész válaszoknak","Általában nem bízom annyira a mesterséges intelligenciában","Ha túlzottan leegyszerűsíti a dolgokat;Ha az intuícióm azt mondja, hogy valami nem stimmel benne","Nem","3. Átlagos szinten értem a saját működésem","Már sokkal jobban értem magam","Igen","Elgondolkodtam rajta;Kényelmetlenül éreztem magam, de kíváncsivá tett","Mindkettő megtörtént","egy lehetséges kiegészítő terápia mellett, de nem helyettesítője annak","Nincsenek különösebb aggodalmaim","",""
"2026/01/28 10:49:23 de. CET","Igen, szeretnék részt venni a kutatásban","Nő","18 - 24","Nem","Diagnosztizált neurodivergens vagyok","Napi szinten","ChatGPT","Igen","A gondolataim, érzéseim jobb megértésében;Döntések meghozásában;Teendők, hétköznapi élet megszervezésére;Önmagam, mintázataim megértésére;Nehéz beszélgetésekre felkészülni;Pszichológiai témákról tanulni","Kíváncsiság;Kifogytam az ötletekből, megrekedtem","Feedbackre, véleményre a gondolataimról;Ötletelésre, brainstorming partnerként;Semleges másodvéleményként","Főként a saját gondolkodásom tisztázására használom az AI-t","Ha egyezik a saját gondolkodásmódommal;Ha új perspektívát mutat","Ha túl (maga)biztosnak hangzik;Ha ellentmond a saját megélt élményemmel;Ha túlzottan leegyszerűsíti a dolgokat","Nem","2. Valamennyire tudatos vagyok az érzéseimmel","Valamennyire tisztult","Igen","Elgondolkodtam rajta","Mindkettő megtörtént","egy lehetséges kiegészítő terápia mellett, de nem helyettesítője annak","Félrevezető, fals információk;A privátszféra","","csernyika13@gmail.com"
"2026/01/28 10:51:35 de. CET","Igen, szeretnék részt venni a kutatásban","Nő","25 - 34","Nem","Diagnosztizált neurodivergens vagyok","Napi szinten","ChatGPT","Igen","A gondolataim, érzéseim jobb megértésében;Döntések meghozásában;Teendők, hétköznapi élet megszervezésére;Önmagam, mintázataim megértésére;Nehéz beszélgetésekre felkészülni;Pszichológiai témákról tanulni","Kíváncsiság;Kifogytam az ötletekből, megrekedtem;Szeretném jobban, strukturáltabban átlátni a kérdést;Általában az érzelmeimre, intuíciómra hallgatok, de szeretném AI-val érteni is;Gyorsabb megoldás: kevés az időm","Feedbackre, véleményre a gondolataimról;Ötletelésre, brainstorming partnerként;Problémamegoldóként;Mint egy útmutató, következő lépések kitalálására","Erősen függ a helyzettől","Ha új perspektívát mutat;Ha strukturáltnak vagy egyértelműnek, tisztának tűnik","Ha túl általánosnak hangzik;Ha az intuícióm azt mondja, hogy valami nem stimmel benne","Valamennyire / nem kőbe vésve","4. Meglehetősen jól ismerem magam","Már sokkal jobban értem magam","Nem","","Mindkettő megtörtént","egy lehetséges kiegészítő terápia mellett, de nem helyettesítője annak","Félrevezető, fals információk;Érzelmi függőség kialakulása;Az emberi kapcsolat hiánya, elvesztése","",""
"2026/01/28 11:29:21 de. CET","Igen, szeretnék részt venni a kutatásban","Nő","25 - 34","Nem","Gyanítom, hogy neurodivergens lehetek, de nincs diagnózisom","Napi szinten","ChatGPT;Gemini;Kling","Igen","A gondolataim, érzéseim jobb megértésében;Önmagam, mintázataim megértésére","Ha benne vagyok egy intenzív érzelmi helyzetben és érzem hogy nem látom reálisan a szituációt vagy gyereknevelesben régi rossz mintazatokból reagálnék, akkor segít ha gyorsan leírom mi történt és gyorsan használható eszközöket, mondatokat kapok a saját szituaciomra. Így tanulom a jo mintazatokat. Sokszor az hogy leirom mar az swift tisztabban látni. ","Ötletelésre, brainstorming partnerként;Problémamegoldóként;Mint egy útmutató, következő lépések kitalálására;Érzelmi megerősítésre","Erősen függ a helyzettől","Ha egyezik a saját gondolkodásmódommal;Ha strukturáltnak vagy egyértelműnek, tisztának tűnik","Ha ellentmond a saját megélt élményemmel;Ha az intuícióm azt mondja, hogy valami nem stimmel benne","Nem","4. Meglehetősen jól ismerem magam","Valamennyire tisztult","Nem","Szituációtól függött","Megerősítette az önmagadról alkotott képed, narratíváid","gyengébb, mint a terápia","A túlzott ráhagyatkozás;Az emberi kapcsolat hiánya, elvesztése","",""
"2026/01/28 11:31:53 de. CET","Igen, szeretnék részt venni a kutatásban","Nő","25 - 34","Nem","Gyanítom, hogy neurodivergens lehetek, de nincs diagnózisom","Napi szinten","ChatGPT","Igen","A gondolataim, érzéseim jobb megértésében;Teendők, hétköznapi élet megszervezésére;Önmagam, mintázataim megértésére","Kíváncsiság;Nincs időm / lehetőségem szakember segítségére;Gyorsabb megoldás: kevés az időm;Nem bízok jobban a szakemberekben, mint az AI-ban. ","Ötletelésre, brainstorming partnerként;Semleges másodvéleményként","Főként a saját gondolkodásom tisztázására használom az AI-t","Általában nem bízom annyira a mesterséges intelligenciában","Ha túlzottan leegyszerűsíti a dolgokat","Valamennyire / nem kőbe vésve","3. Átlagos szinten értem a saját működésem","Valamennyire tisztult","Nem","","Mindkettő megtörtént","egy lehetséges kiegészítő terápia mellett, de nem helyettesítője annak","Félrevezető, fals információk;Nincsenek különösebb aggodalmaim","Igazából azért használom, mert instant kéznél van, nem kell tipródjak egy esetleges szakembertől kapott időpontig. Semmit sem veszek készpénznek, amit mond, többször ellenőriztetem saját magával is. Jól tudom vele redszerezni a gondolataimat, teendőimet. Irányt tud mutatni. ","Mrs.kylwog@gmail.com"
"2026/01/28 7:13:07 du. CET","Igen, szeretnék részt venni a kutatásban","Nő","45 - 54","Nem","Nem vagyok neurodivergens / nem tudok ilyesmiről","Napi szinten","Gemini;Microsoft CoPilot","Igen","Önmagam, mintázataim megértésére;Nehéz beszélgetésekre felkészülni;Másodvéleményt kérni, hogy segítsen értékelni és nem szubjektívan nézni konfliktushelyzetem mással. Vagy hogy segítsen asszertívan elmondani valamit. Vagy life coachként.","Szeretném jobban, strukturáltabban átlátni a kérdést;Gyorsabb megoldás: kevés az időm;Higgadt, nyugodt, objektívebb válasz után kutatok","Feedbackre, véleményre a gondolataimról;Ötletelésre, brainstorming partnerként;Mint egy útmutató, következő lépések kitalálására","Erősen függ a helyzettől","Ha strukturáltnak vagy egyértelműnek, tisztának tűnik","Ha túl általánosnak hangzik;Ha túlzottan leegyszerűsíti a dolgokat;Ha az intuícióm azt mondja, hogy valami nem stimmel benne","Nem","4. Meglehetősen jól ismerem magam","Valamennyire tisztult","Igen","Szituációtól függött","Megerősítette az önmagadról alkotott képed, narratíváid","egy lehetséges kiegészítő terápia mellett, de nem helyettesítője annak","Nincsenek különösebb aggodalmaim;Azt gondolom, hogy mivel tudom, hogy másodrangú információként, plusz eszközként használom, egész tudatosan kezelem. Néha észreveszem, hogy túl általános vagy fáraszt a válasza..","Mint minden témában, itt is fontos, hogy tudjunk jól kérdezni. Az AI elsősorban ""pleasing""-el és azt fogja mondani, amit hallani akarsz vagy legalább is mindig pozitív, megerősít. Hacsak nem kéred kifejezetten, hogy tegyen próbára.","juditpalinkasms@gmail.com"
"2026/01/28 7:28:50 du. CET","Igen, szeretnék részt venni a kutatásban","Nő","35 - 44","Nem","Gyanítom, hogy neurodivergens lehetek, de nincs diagnózisom","Hetente többször","ChatGPT","Nem","","","","A mesterséges intelligencia által írtakat csak javaslatoknak tekintem, nem kész válaszoknak","","","Nem","4. Meglehetősen jól ismerem magam","","","","","","A túlzott ráhagyatkozás;Félrevezető, fals információk;Érzelmi függőség kialakulása;Az emberi kapcsolat hiánya, elvesztése;A privátszféra","",""
"2026/01/28 7:38:00 du. CET","Igen, szeretnék részt venni a kutatásban","Nő","35 - 44","Nem","Nem vagyok neurodivergens / nem tudok ilyesmiről","Napi szinten","ChatGPT","Igen","A gondolataim, érzéseim jobb megértésében;Önmagam, mintázataim megértésére","Kíváncsiság;Kifogytam az ötletekből, megrekedtem;Szeretném jobban, strukturáltabban átlátni a kérdést;Nincs időm / lehetőségem szakember segítségére","Feedbackre, véleményre a gondolataimról;Problémamegoldóként;Érzelmi megerősítésre","A mesterséges intelligencia által írtakat csak javaslatoknak tekintem, nem kész válaszoknak","Ha új perspektívát mutat;Ha strukturáltnak vagy egyértelműnek, tisztának tűnik;Ha több lehetőséget mutat be","Ha túl általánosnak hangzik;Ha ellentmond a saját megélt élményemmel;Ha az intuícióm azt mondja, hogy valami nem stimmel benne","Nem","4. Meglehetősen jól ismerem magam","Valamennyire tisztult","Nem","","Megerősítette az önmagadról alkotott képed, narratíváid","gyengébb, mint a terápia","Érzelmi függőség kialakulása;Az emberi kapcsolat hiánya, elvesztése","",""
"2026/01/28 7:40:34 du. CET","Igen, szeretnék részt venni a kutatásban","Nő","35 - 44","Nem","Nem vagyok neurodivergens / nem tudok ilyesmiről","Ritkán","ChatGPT","Nem","Döntések meghozásában","Szeretném jobban, strukturáltabban átlátni a kérdést","Ötletelésre, brainstorming partnerként","A mesterséges intelligencia által írtakat csak javaslatoknak tekintem, nem kész válaszoknak","Ha strukturáltnak vagy egyértelműnek, tisztának tűnik","Ha az intuícióm azt mondja, hogy valami nem stimmel benne","Valamennyire / nem kőbe vésve","5. Nagyon tudatos vagyok a belső működéseimmel","Nem volt rá hatással / nem tudok erre válaszolni","Nem","","Egyik sem igaz","nem gondoltam ilyenekre / nem tudom","Félrevezető, fals információk;Az emberi kapcsolat hiánya, elvesztése","",""
"2026/01/28 7:42:55 du. CET","Igen, szeretnék részt venni a kutatásban","Férfi","25 - 34","Nem","Nem vagyok neurodivergens / nem tudok ilyesmiről","Napi szinten","ChatGPT;Gemini;Claude","Nem","Döntések meghozásában;Teendők, hétköznapi élet megszervezésére;Nehéz beszélgetésekre felkészülni","Általában az érzelmeimre, intuíciómra hallgatok, de szeretném AI-val érteni is","Feedbackre, véleményre a gondolataimról;Ötletelésre, brainstorming partnerként;Problémamegoldóként","Erősen függ a helyzettől","Ha strukturáltnak vagy egyértelműnek, tisztának tűnik;Általában nem bízom annyira a mesterséges intelligenciában","Ha túl általánosnak hangzik;Ha ellentmond a saját megélt élményemmel;Ha túlzottan leegyszerűsíti a dolgokat;Ha az intuícióm azt mondja, hogy valami nem stimmel benne","Valamennyire / nem kőbe vésve","4. Meglehetősen jól ismerem magam","Körülbelül ugyanaz maradt","Nem","","Egyik sem igaz","nem gondoltam ilyenekre / nem tudom","Az emberi kapcsolat hiánya, elvesztése","","martar1994@gmail.com"
"2026/01/28 7:46:16 du. CET","Igen, szeretnék részt venni a kutatásban","Nő","35 - 44","Nem","Nem vagyok neurodivergens / nem tudok ilyesmiről","Napi szinten","ChatGPT","Nem","Munka","Gyorsabb megoldás: kevés az időm","Mint egy útmutató, következő lépések kitalálására","A mesterséges intelligencia által írtakat csak javaslatoknak tekintem, nem kész válaszoknak","Ha egyezik a saját gondolkodásmódommal","Ha ellentmond a saját megélt élményemmel","Nem","3. Átlagos szinten értem a saját működésem","Nem volt rá hatással / nem tudok erre válaszolni","Nem","","","gyengébb, mint a terápia","Az emberi kapcsolat hiánya, elvesztése","",""
"2026/01/28 7:52:21 du. CET","Igen, szeretnék részt venni a kutatásban","Férfi","45 - 54","Nem","Nem érint a téma / nem szeretném megosztani","Hetente többször","ChatGPT","Nem","Teendők, hétköznapi élet megszervezésére","Kíváncsiság","Problémamegoldóként;Mint egy útmutató, következő lépések kitalálására","Főként a saját gondolkodásom tisztázására használom az AI-t","Ha egyezik a saját gondolkodásmódommal","Ha ellentmond a saját megélt élményemmel;Ha az intuícióm azt mondja, hogy valami nem stimmel benne","Nem","4. Meglehetősen jól ismerem magam","Körülbelül ugyanaz maradt","Nem","Nem foglalkoztam vele, ignoráltam","Nem vagyok biztos ebben / nem tudom","egy lehetséges kiegészítő terápia mellett, de nem helyettesítője annak","Az emberi kapcsolat hiánya, elvesztése","Nincs",""
"2026/01/28 8:20:22 du. CET","Igen, szeretnék részt venni a kutatásban","Nő","45 - 54","Nem","Nem vagyok neurodivergens / nem tudok ilyesmiről","Napi szinten","ChatGPT","Igen","Pszichológiai témákról tanulni","Kíváncsiság;Szeretném jobban, strukturáltabban átlátni a kérdést;Általában az érzelmeimre, intuíciómra hallgatok, de szeretném AI-val érteni is","Ötletelésre, brainstorming partnerként;Semleges másodvéleményként","A mesterséges intelligencia által írtakat csak javaslatoknak tekintem, nem kész válaszoknak","Általában nem bízom annyira a mesterséges intelligenciában","Ha ellentmond a saját megélt élményemmel;Ha túlzottan leegyszerűsíti a dolgokat;Ha az intuícióm azt mondja, hogy valami nem stimmel benne","Valamennyire / nem kőbe vésve","5. Nagyon tudatos vagyok a belső működéseimmel","Körülbelül ugyanaz maradt","Nem","","Egyik sem igaz","gyengébb, mint a terápia","Félrevezető, fals információk;Az emberi kapcsolat hiánya, elvesztése","",""
"2026/01/28 8:47:25 du. CET","Igen, szeretnék részt venni a kutatásban","Nő","35 - 44","Nem","Nem vagyok neurodivergens / nem tudok ilyesmiről","Napi szinten","ChatGPT;Gemini;Claude","Igen","A gondolataim, érzéseim jobb megértésében;Teendők, hétköznapi élet megszervezésére;Nehéz beszélgetésekre felkészülni","Szeretném jobban, strukturáltabban átlátni a kérdést","Ötletelésre, brainstorming partnerként;Mint egy útmutató, következő lépések kitalálására","Erősen függ a helyzettől","Ha strukturáltnak vagy egyértelműnek, tisztának tűnik;Ha több lehetőséget mutat be","Ha túl általánosnak hangzik;Ha az intuícióm azt mondja, hogy valami nem stimmel benne","Nem","4. Meglehetősen jól ismerem magam","Körülbelül ugyanaz maradt","Nem","","Mindkettő megtörtént","gyengébb, mint a terápia","Félrevezető, fals információk;Érzelmi függőség kialakulása","",""
"2026/01/28 8:58:17 du. CET","Igen, szeretnék részt venni a kutatásban","Férfi","35 - 44","Nem","Nem vagyok neurodivergens / nem tudok ilyesmiről","Napi szinten","ChatGPT","Nem","munkaügyben","Kíváncsiság","Problémamegoldóként","A mesterséges intelligencia által írtakat csak javaslatoknak tekintem, nem kész válaszoknak","Ha egyezik a saját gondolkodásmódommal;Ha új perspektívát mutat;Ha több lehetőséget mutat be","Ha ellentmond a saját megélt élményemmel;Ha az intuícióm azt mondja, hogy valami nem stimmel benne","Nem","2. Valamennyire tudatos vagyok az érzéseimmel","Nem volt rá hatással / nem tudok erre válaszolni","Nem vagyok biztos benne / nem tudom","Szituációtól függött","Nem vagyok biztos ebben / nem tudom","nem gondoltam ilyenekre / nem tudom","A túlzott ráhagyatkozás;Félrevezető, fals információk","",""
"2026/01/28 9:02:30 du. CET","Igen, szeretnék részt venni a kutatásban","Nő","35 - 44","Nem","Diagnosztizált neurodivergens vagyok","Próbáltam már, de szinte soha","ChatGPT","Nem","","Kíváncsiság;Szeretném jobban, strukturáltabban átlátni a kérdést;","Ötletelésre, brainstorming partnerként;Érzelmi megerősítésre;","A mesterséges intelligencia által írtakat csak javaslatoknak tekintem, nem kész válaszoknak","Ha biztosnak hangzik;Általában nem bízom annyira a mesterséges intelligenciában","Ha túlzottan leegyszerűsíti a dolgokat;Csak ritkán van, hogy nem bízom benne","Nem","2. Valamennyire tudatos vagyok az érzéseimmel","Jobban összezavarodtam tőle","Nem","Szituációtól függött","Egyik sem igaz","gyengébb, mint a terápia","Félrevezető, fals információk;A privátszféra","",""
"2026/01/28 9:07:55 du. CET","Igen, szeretnék részt venni a kutatásban","Férfi","35 - 44","Nem","Gyanítom, hogy neurodivergens lehetek, de nincs diagnózisom","Ritkán","ChatGPT","Nem","Csak információ szerzésben","Gyorsabb megoldás: kevés az időm","Semleges másodvéleményként","A mesterséges intelligencia által írtakat csak javaslatoknak tekintem, nem kész válaszoknak","Általában nem bízom annyira a mesterséges intelligenciában","Ha az intuícióm azt mondja, hogy valami nem stimmel benne","Igen, határozottan","3. Átlagos szinten értem a saját működésem","Nem volt rá hatással / nem tudok erre válaszolni","Nem","Nem foglalkoztam vele, ignoráltam","Egyik sem igaz","gyengébb, mint a terápia","Félrevezető, fals információk","",""
"2026/01/28 10:28:14 du. CET","Igen, szeretnék részt venni a kutatásban","Nő","35 - 44","Nem","Gyanítom, hogy neurodivergens lehetek, de nincs diagnózisom","Napi szinten","ChatGPT;Gemini","Igen","A gondolataim, érzéseim jobb megértésében;Döntések meghozásában;Nehéz beszélgetésekre felkészülni;Uzenetben akartam barátot lerázni,és kértem hogy segitsen ne bunkón válaszolni","Kíváncsiság;Gyorsabb megoldás: kevés az időm","Feedbackre, véleményre a gondolataimról;Ötletelésre, brainstorming partnerként;Érzelmi megerősítésre","A mesterséges intelligencia által írtakat csak javaslatoknak tekintem, nem kész válaszoknak","Ha strukturáltnak vagy egyértelműnek, tisztának tűnik;Ha biztosnak hangzik","Ha túl általánosnak hangzik","Még sohasem gondoltam ilyesmire","2. Valamennyire tudatos vagyok az érzéseimmel","Körülbelül ugyanaz maradt","Nem vagyok biztos benne / nem tudom","Elgondolkodtam rajta","Egyik sem igaz","nem gondoltam ilyenekre / nem tudom","A privátszféra","",""
"2026/01/28 10:28:41 du. CET","Igen, szeretnék részt venni a kutatásban","Férfi","25 - 34","Nem","Gyanítom, hogy neurodivergens lehetek, de nincs diagnózisom","Napi szinten","ChatGPT","Igen","A gondolataim, érzéseim jobb megértésében;Döntések meghozásában;Teendők, hétköznapi élet megszervezésére;Önmagam, mintázataim megértésére;Nehéz beszélgetésekre felkészülni","Kíváncsiság;Kifogytam az ötletekből, megrekedtem;Szeretném jobban, strukturáltabban átlátni a kérdést;Általában az érzelmeimre, intuíciómra hallgatok, de szeretném AI-val érteni is;Nincs időm / lehetőségem szakember segítségére","Feedbackre, véleményre a gondolataimról;Ötletelésre, brainstorming partnerként;Semleges másodvéleményként;Problémamegoldóként","Főként a saját gondolkodásom tisztázására használom az AI-t","Ha új perspektívát mutat;Ha több lehetőséget mutat be;Általában nem bízom annyira a mesterséges intelligenciában","Ha túl általánosnak hangzik;Ha túl (maga)biztosnak hangzik;Ha túlzottan leegyszerűsíti a dolgokat;Ha az intuícióm azt mondja, hogy valami nem stimmel benne","Valamennyire / nem kőbe vésve","3. Átlagos szinten értem a saját működésem","Már sokkal jobban értem magam","Igen","Elgondolkodtam rajta;Kényelmetlenül éreztem magam, de kíváncsivá tett;Integráltam az AI-tól kapottakat, legalább részben;Szituációtól függött","Mindkettő megtörtént","egy lehetséges kiegészítő terápia mellett, de nem helyettesítője annak","A túlzott ráhagyatkozás;Félrevezető, fals információk;Érzelmi függőség kialakulása;Az emberi kapcsolat hiánya, elvesztése;A privátszféra;Bizonyára elképesztően sok energiát fogyaszt, tehát magas az ára, csak azt nem mi fizetjük közvetlenül. Nem transzparens eléggé a működése ilyen szempontból. És ez aggasztó, hogy vajon mekkora energiaválságot okozhat hosszútávon az, ha a cégek/országok majd a szerverparkok fenntartására fókuszálnak jobban, mint a lakosság valós igényeire (pl. hogy legyen ivóvíz).","","thor.alias@gmail.com"
